	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_c_pr[2,133]	-0.4757	0.004356	0.9082	0.9052	-2.241	-0.4804	1.313	43480.0	31630.0	2.333	1.0
theta_c_pr[2,134]	-0.464	0.004278	0.7792	0.7717	-1.948	-0.4823	1.134	33490.0	30800.0	1.797	1.0
theta_c_pr[2,135]	0.5405	0.004086	0.7673	0.7632	-0.9571	0.536	2.071	35320.0	30390.0	1.896	1.0
theta_c_pr[2,136]	-0.262	0.004171	0.6971	0.6893	-1.615	-0.2723	1.135	27910.0	29020.0	1.497	1.0
theta_c_pr[2,137]	-0.9204	0.004144	0.8	0.7971	-2.441	-0.9383	0.6872	37360.0	29820.0	2.004	1.0
theta_c_pr[2,138]	0.07806	0.004323	0.7207	0.7158	-1.296	0.06321	1.531	27830.0	29730.0	1.493	1.0
theta_c_pr[2,139]	-0.4693	0.003929	0.7011	0.6978	-1.825	-0.4765	0.9338	31850.0	30800.0	1.709	1.0
theta_c_pr[2,140]	0.3205	0.003599	0.7127	0.7009	-1.049	0.3056	1.759	39360.0	30170.0	2.112	1.0
theta_c_pr[2,141]	-0.09667	0.00406	0.799	0.7949	-1.626	-0.1118	1.511	38810.0	31180.0	2.082	1.0
theta_c_pr[2,142]	-0.5613	0.004133	0.706	0.6981	-1.92	-0.5661	0.8588	29250.0	30170.0	1.569	1.0
theta_c_pr[2,143]	-1.576	0.004318	0.7435	0.735	-3.004	-1.585	-0.09113	29750.0	30610.0	1.597	1.0
theta_c_pr[2,144]	0.4324	0.003969	0.7625	0.7588	-1.032	0.4232	1.948	36980.0	31630.0	1.984	1.0
theta_c_pr[2,145]	-1.323	0.003636	0.6076	0.5963	-2.521	-1.32	-0.1245	27970.0	28850.0	1.501	1.0
theta_c_pr[2,146]	0.1082	0.003827	0.7199	0.7196	-1.287	0.102	1.537	35420.0	31360.0	1.901	1.0
theta_c_pr[2,147]	0.05847	0.004211	0.8173	0.8098	-1.497	0.0385	1.71	37850.0	31620.0	2.031	1.0
theta_c_pr[2,148]	-0.5796	0.003882	0.7749	0.7692	-2.084	-0.5864	0.9624	39940.0	31610.0	2.143	1.0
theta_c_pr[2,149]	0.2599	0.003444	0.6664	0.6548	-1.031	0.2512	1.587	37540.0	30950.0	2.014	0.9999
theta_c_pr[2,150]	-0.4342	0.004506	1.002	1.007	-2.394	-0.4408	1.53	49550.0	30220.0	2.659	1.0
theta_c_pr[2,151]	0.2805	0.00406	0.777	0.7737	-1.225	0.2777	1.818	36610.0	30460.0	1.965	1.0
theta_c_pr[2,152]	-0.1422	0.00386	0.8253	0.8203	-1.721	-0.1585	1.531	45900.0	30280.0	2.463	1.0
theta_c_pr[2,153]	-1.4	0.003997	0.6645	0.6567	-2.686	-1.412	-0.07772	27730.0	30010.0	1.488	1.0
theta_c_pr[2,154]	1.148	0.003575	0.7062	0.7023	-0.2165	1.136	2.564	39100.0	30860.0	2.098	1.0
theta_c_pr[2,155]	-0.4767	0.003922	0.698	0.6947	-1.823	-0.4854	0.9159	31680.0	30870.0	1.7	1.0
theta_c_pr[2,156]	0.3613	0.00437	0.8854	0.8841	-1.383	0.3666	2.081	41210.0	30440.0	2.211	1.0
theta_c_pr[2,157]	0.3191	0.004281	0.8257	0.8241	-1.259	0.3057	1.972	37100.0	30790.0	1.991	1.0
theta_c_pr[2,158]	-0.1606	0.004326	0.9068	0.9044	-1.916	-0.1694	1.628	44120.0	30170.0	2.367	1.0
theta_c_pr[2,159]	-0.1291	0.004034	0.8822	0.8765	-1.844	-0.1392	1.616	48120.0	30650.0	2.582	1.0
theta_c_pr[3,1]	-1.041	0.002994	0.5242	0.5069	-2.21	-0.9896	-0.1605	33090.0	25420.0	1.776	1.0
theta_c_pr[3,2]	-0.9478	0.003147	0.6668	0.6549	-2.381	-0.9024	0.2258	47390.0	29290.0	2.543	1.0
theta_c_pr[3,3]	0.7178	0.002115	0.3478	0.3354	-0.01376	0.7303	1.359	27590.0	25990.0	1.48	1.0
theta_c_pr[3,4]	0.3549	0.003071	0.5868	0.5588	-0.9302	0.3992	1.378	39890.0	25800.0	2.14	1.0
theta_c_pr[3,5]	-0.6973	0.003007	0.5462	0.5286	-1.883	-0.6565	0.2585	34350.0	27170.0	1.843	1.0
theta_c_pr[3,6]	0.1521	0.002683	0.4889	0.4766	-0.9024	0.1787	1.034	34160.0	27640.0	1.833	1.0
theta_c_pr[3,7]	0.8547	0.002728	0.5027	0.4815	-0.2201	0.8827	1.766	35320.0	25780.0	1.896	1.0
theta_c_pr[3,8]	1.944	0.00231	0.3311	0.3294	1.317	1.937	2.609	20650.0	26080.0	1.108	1.0
theta_c_pr[3,9]	-0.1297	0.00258	0.4466	0.4248	-1.096	-0.09681	0.6616	32450.0	25910.0	1.741	1.0
theta_c_pr[3,10]	0.9493	0.001893	0.2848	0.2809	0.3857	0.9485	1.504	22620.0	26940.0	1.214	1.0
theta_c_pr[3,11]	1.718	0.002873	0.462	0.4474	0.7699	1.73	2.592	26010.0	27920.0	1.396	1.0
theta_c_pr[3,12]	-0.07844	0.003213	0.6247	0.6027	-1.444	-0.02931	1.013	40750.0	26410.0	2.186	1.0
theta_c_pr[3,13]	-0.4987	0.002954	0.5582	0.5393	-1.75	-0.4434	0.4448	39410.0	25960.0	2.115	1.0
theta_c_pr[3,14]	-0.0832	0.003165	0.6004	0.5818	-1.354	-0.05008	1.006	37690.0	27650.0	2.023	1.0
theta_c_pr[3,15]	-0.3426	0.003162	0.5773	0.5595	-1.579	-0.306	0.686	34400.0	28600.0	1.846	1.0
theta_c_pr[3,16]	-1.267	0.002731	0.4866	0.4754	-2.323	-1.231	-0.4163	33240.0	27480.0	1.784	1.0
theta_c_pr[3,17]	0.248	0.00294	0.4952	0.4779	-0.8352	0.2876	1.106	29440.0	27030.0	1.58	1.0
theta_c_pr[3,18]	-0.006624	0.002776	0.5141	0.4928	-1.13	0.03066	0.8958	36230.0	26240.0	1.944	1.0
