	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,39]	0.2125	0.0003042	0.05496	0.0542	0.121	0.2072	0.3345	31730.0	29580.0	1.662	1.0
a_conf[1,40]	0.5355	0.0004849	0.09372	0.09461	0.3611	0.5325	0.7274	37500.0	30500.0	1.965	1.0
a_conf[1,41]	0.1373	0.0003917	0.06764	0.06216	0.04077	0.1256	0.3018	29610.0	28400.0	1.551	1.0
a_conf[1,42]	0.4972	0.0004532	0.09284	0.09431	0.3295	0.493	0.6897	42710.0	31110.0	2.238	1.0
a_conf[1,43]	0.3524	0.0004756	0.08655	0.08732	0.1984	0.3476	0.5334	32490.0	27780.0	1.702	1.0
a_conf[1,44]	0.4909	0.001036	0.1753	0.194	0.1598	0.4949	0.8134	29110.0	29180.0	1.525	1.0
a_conf[1,45]	0.291	0.00052	0.08481	0.08277	0.1531	0.2815	0.4799	26150.0	28920.0	1.37	1.0
a_conf[1,46]	0.274	0.0003804	0.07108	0.0705	0.1531	0.2678	0.4274	34150.0	30210.0	1.789	1.0
a_conf[1,47]	0.3512	0.0005133	0.08476	0.08512	0.2005	0.3457	0.5319	26760.0	28590.0	1.402	1.0
a_conf[1,48]	0.3313	0.0003834	0.08631	0.08585	0.1817	0.3251	0.5176	49980.0	33750.0	2.619	1.0
a_conf[1,49]	0.09373	0.0003087	0.04944	0.04522	0.02526	0.08469	0.2133	24830.0	29370.0	1.301	1.0
a_conf[1,50]	0.1225	0.000507	0.07879	0.06558	0.02469	0.104	0.3264	23850.0	26380.0	1.25	1.0
a_conf[1,51]	0.2088	0.0004409	0.09175	0.08515	0.06673	0.1956	0.4257	43640.0	29220.0	2.287	1.0
a_conf[1,52]	0.5432	0.000497	0.1006	0.102	0.3629	0.5372	0.7525	41520.0	29180.0	2.175	1.0
