parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
b1,Inverse temp.,159,0.802025023958156,0.7240515148038599,0.8598702152927586,5.737746157167701e-37
a1,LR chosen +PE,159,0.6131683065682648,0.49504661299119473,0.7091912281444782,8.602653322526402e-18
a2,LR chosen −PE,159,0.5968167722146553,0.4605044742072745,0.7113881257228234,1.0235734424583483e-16
a3,LR unch. +PE,159,0.6629846129969948,0.5514052723608712,0.7545057346468692,1.7322425477348725e-21
a4,LR unch. −PE,159,0.8153317958248434,0.7432014612166185,0.8677574342034203,4.2699865061441825e-39
q0,Initial $q_0$,159,0.7549157098962648,0.6561356508369605,0.8277585478901194,1.4412643338809682e-30
