parameter,label,icc,icc_ci_lo,icc_ci_hi
b1,Inverse temperature,0.7680570754577526,0.6955614089497288,0.8250704606119366
a_conf,Confirmatory learning rate,0.7437460218167962,0.665091081531888,0.8060798243023644
a_disc,Disconfirmatory learning rate,0.6289169067219138,0.5246247769968743,0.7146114047901483
q0,Initial Q-value,0.8126222086890286,0.752102743722809,0.8595513218825079
