parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
b1,Inverse temperature,159,0.7867377600517484,0.7030620290451297,0.8497531538734012,1.0287818883602668e-34
a_conf,Confirmatory learning rate,159,0.7192498761038697,0.620673484777386,0.8001821117948573,1.2916190481425252e-26
a_disc,Disconfirmatory learning rate,159,0.658586318466238,0.538825690595547,0.7537853435587537,3.9190504198928e-21
q0,Initial Q-value,159,0.802452236762952,0.7257572677209239,0.8592030352951673,4.93115406634663e-37
