ID,num_trials,num_stage1_RT_lt150ms,per_stage1_RT_lt150ms,num_stage1_RT_gt2000ms,per_stage1_RT_gt2000ms,num_stage2_RT_lt150ms,per_stage2_RT_lt150ms,num_stage2_RT_gt2000ms,per_stage2_RT_gt2000ms,num_stage1_RT_sloworfast,per_stage1_RT_sloworfast,num_stage2_RT_sloworfast,per_stage2_RT_sloworfast,num_stay_rew_comm,per_stay_rew_common,num_stay_rew_rare,per_stay_rew_rare,num_stay_unrew_comm,per_stay_unrew_common,num_stay_unrew_rare,per_stay_unrew_rare,prob_worse_random_corr,num_trials_common_rew_V1,num_trials_rare_rew_V1,num_trials_common_unrew_V1,num_trials_rare_unrew_V1,exclude_crit1,exclude_crit2,exclude_crit3,exclude_crit4
5031,171,23,0.134502923976608,8,0.0467836257309941,15,0.087719298245614,3,0.0175438596491228,31,0.181286549707602,18,0.105263157894737,61,1,27,1,56,1,27,1,1,61,27,56,27,0,0,0,0
4947,176,16,0.0909090909090909,8,0.0454545454545455,9,0.0511363636363636,10,0.0568181818181818,24,0.136363636363636,19,0.107954545454545,59,1,29,1,63,1,25,1,1,59,29,63,25,0,0,0,0
6416,189,23,0.121693121693122,2,0.0105820105820106,1,0.00529100529100529,0,0,25,0.132275132275132,1,0.00529100529100529,72,1,30,1,62,1,25,1,1,72,30,62,25,0,0,0,0
293,186,30,0.161290322580645,8,0.043010752688172,8,0.043010752688172,2,0.010752688172043,38,0.204301075268817,10,0.0537634408602151,67,1,31,1,60,1,28,1,1,67,31,60,28,1,0,0,0
5720,190,13,0.068421052631579,0,0,2,0.0105263157894737,0,0,13,0.068421052631579,2,0.0105263157894737,64,0.96969696969697,34,0.971428571428571,41,0.694915254237288,25,0.833333333333333,1,66,35,59,30,0,0,0,0
4294,188,13,0.0691489361702128,1,0.00531914893617021,0,0,0,0,14,0.074468085106383,0,0,67,1,29,1,56,1,36,1,1,67,29,56,36,0,0,0,0
240,180,61,0.338888888888889,3,0.0166666666666667,47,0.261111111111111,2,0.0111111111111111,64,0.355555555555556,49,0.272222222222222,69,1,28,1,53,1,30,1,1,69,28,53,30,1,1,0,1
138,190,0,0,0,0,0,0,0,0,0,0,0,0,84,0.976744186046512,20,0.833333333333333,47,0.770491803278688,12,0.631578947368421,1,86,24,61,19,0,0,0,0
5419,185,63,0.340540540540541,2,0.0108108108108108,40,0.216216216216216,4,0.0216216216216216,65,0.351351351351351,44,0.237837837837838,69,1,31,1,52,1,33,1,1,69,31,52,33,1,1,0,1
4200,188,77,0.409574468085106,0,0,5,0.0265957446808511,0,0,77,0.409574468085106,5,0.0265957446808511,74,1,27,1,61,1,26,1,1,74,27,61,26,1,1,0,1
429,131,0,0,2,0.0152671755725191,1,0.00763358778625954,2,0.0152671755725191,2,0.0152671755725191,3,0.0229007633587786,41,1,25,1,53,1,12,1,1,41,25,53,12,0,0,0,0
6,187,52,0.27807486631016,0,0,41,0.219251336898396,2,0.0106951871657754,52,0.27807486631016,43,0.229946524064171,48,1,31,1,80,1,28,1,1,48,31,80,28,1,0,0,0
288,189,3,0.0158730158730159,1,0.00529100529100529,0,0,0,0,4,0.0211640211640212,0,0,56,1,29,1,73,1,31,1,1,56,29,73,31,0,0,0,0
6117,187,3,0.0160427807486631,4,0.0213903743315508,0,0,4,0.0213903743315508,7,0.0374331550802139,4,0.0213903743315508,88,1,24,1,56,1,19,1,1,88,24,56,19,0,0,0,0
2791,189,118,0.624338624338624,0,0,44,0.232804232804233,1,0.00529100529100529,118,0.624338624338624,45,0.238095238095238,61,0.897058823529412,22,0.814814814814815,47,0.691176470588235,17,0.653846153846154,0.999999999999591,68,27,68,26,1,1,0,1
6072,181,76,0.419889502762431,3,0.0165745856353591,49,0.270718232044199,9,0.0497237569060773,79,0.43646408839779,58,0.320441988950276,66,1,30,1,56,1,29,1,1,66,30,56,29,1,1,0,1
105,190,0,0,1,0.00526315789473684,0,0,1,0.00526315789473684,1,0.00526315789473684,1,0.00526315789473684,52,0.852459016393443,20,0.689655172413793,44,0.586666666666667,16,0.64,0.999999998506779,61,29,75,25,0,0,0,0
410,181,35,0.193370165745856,4,0.0220994475138122,47,0.259668508287293,4,0.0220994475138122,39,0.215469613259669,51,0.281767955801105,61,1,35,1,63,1,22,1,1,61,35,63,22,1,1,0,1
303,189,4,0.0211640211640212,2,0.0105820105820106,0,0,0,0,6,0.0317460317460317,0,0,65,1,31,1,58,1,35,1,1,65,31,58,35,0,0,0,0
3535,189,2,0.0105820105820106,1,0.00529100529100529,1,0.00529100529100529,2,0.0105820105820106,3,0.0158730158730159,3,0.0158730158730159,37,0.627118644067797,16,0.592592592592593,42,0.6,23,0.696969696969697,0.981828410021473,59,27,70,33,0,0,0,0
7547,186,24,0.129032258064516,2,0.010752688172043,7,0.0376344086021505,4,0.021505376344086,26,0.139784946236559,11,0.0591397849462366,60,1,29,1,65,1,32,1,1,60,29,65,32,0,0,0,0
7308,183,40,0.218579234972678,0,0,37,0.202185792349727,1,0.00546448087431694,40,0.218579234972678,38,0.207650273224044,74,1,23,1,59,1,27,1,1,74,23,59,27,1,0,0,0
4661,189,9,0.0476190476190476,0,0,0,0,0,0,9,0.0476190476190476,0,0,63,1,29,1,66,1,31,1,1,63,29,66,31,0,0,0,0
1981,188,1,0.00531914893617021,2,0.0106382978723404,0,0,0,0,3,0.0159574468085106,0,0,67,1,27,1,54,1,40,1,1,67,27,54,40,0,0,0,0
587,190,3,0.0157894736842105,0,0,0,0,0,0,3,0.0157894736842105,0,0,75,1,38,0.95,36,0.692307692307692,22,0.956521739130435,1,75,40,52,23,0,0,0,0
4924,189,14,0.0740740740740741,1,0.00529100529100529,2,0.0105820105820106,0,0,15,0.0793650793650794,2,0.0105820105820106,69,1,31,1,61,1,28,1,1,69,31,61,28,0,0,0,0
481,182,34,0.186813186813187,1,0.00549450549450549,9,0.0494505494505494,0,0,35,0.192307692307692,9,0.0494505494505494,62,1,25,1,62,1,33,1,1,62,25,62,33,0,0,0,0
1843,187,90,0.481283422459893,1,0.0053475935828877,99,0.529411764705882,0,0,91,0.486631016042781,99,0.529411764705882,67,1,31,1,63,1,26,1,1,67,31,63,26,1,1,0,1
4582,189,25,0.132275132275132,0,0,2,0.0105820105820106,0,0,25,0.132275132275132,2,0.0105820105820106,69,1,37,1,57,1,26,1,1,69,37,57,26,0,0,0,0
4934,186,32,0.172043010752688,2,0.010752688172043,16,0.0860215053763441,4,0.021505376344086,34,0.182795698924731,20,0.10752688172043,77,1,25,1,62,1,22,1,1,77,25,62,22,0,0,0,0
4727,173,1,0.00578034682080925,4,0.023121387283237,0,0,3,0.0173410404624277,5,0.0289017341040462,3,0.0173410404624277,59,1,26,1,74,1,14,1,1,59,26,74,14,0,0,0,0
4459,188,59,0.313829787234043,0,0,5,0.0265957446808511,0,0,59,0.313829787234043,5,0.0265957446808511,86,1,24,1,47,1,31,1,1,86,24,47,31,1,0,0,0
626,189,18,0.0952380952380952,0,0,1,0.00529100529100529,0,0,18,0.0952380952380952,1,0.00529100529100529,63,1,28,1,72,1,26,1,1,63,28,72,26,0,0,0,0
2085,189,3,0.0158730158730159,1,0.00529100529100529,0,0,2,0.0105820105820106,4,0.0211640211640212,2,0.0105820105820106,84,1,24,1,56,1,25,1,1,84,24,56,25,0,0,0,0
266,188,57,0.303191489361702,0,0,42,0.223404255319149,1,0.00531914893617021,57,0.303191489361702,43,0.228723404255319,68,1,29,1,60,1,31,1,1,68,29,60,31,1,0,0,0
198,190,0,0,0,0,0,0,0,0,0,0,0,0,66,0.970588235294118,22,0.814814814814815,48,0.716417910447761,25,0.892857142857143,1,68,27,67,28,0,0,0,0
3330,189,2,0.0105820105820106,0,0,0,0,2,0.0105820105820106,2,0.0105820105820106,2,0.0105820105820106,77,1,29,1,54,1,29,1,1,77,29,54,29,0,0,0,0
2761,190,38,0.2,0,0,1,0.00526315789473684,1,0.00526315789473684,38,0.2,2,0.0105263157894737,82,0.987951807228916,25,0.806451612903226,40,0.727272727272727,20,0.952380952380952,1,83,31,55,21,0,0,0,0
5673,189,22,0.116402116402116,1,0.00529100529100529,10,0.0529100529100529,3,0.0158730158730159,23,0.121693121693122,13,0.0687830687830688,63,1,30,1,61,1,35,1,1,63,30,61,35,0,0,0,0
140,187,2,0.0106951871657754,5,0.0267379679144385,0,0,5,0.0267379679144385,7,0.0374331550802139,5,0.0267379679144385,74,1,32,1,54,1,27,1,1,74,32,54,27,0,0,0,0
33,189,21,0.111111111111111,3,0.0158730158730159,13,0.0687830687830688,1,0.00529100529100529,24,0.126984126984127,14,0.0740740740740741,76,1,25,1,59,1,29,1,1,76,25,59,29,0,0,0,0
1456,181,66,0.364640883977901,6,0.0331491712707182,51,0.281767955801105,3,0.0165745856353591,72,0.397790055248619,54,0.298342541436464,58,1,30,1,63,1,30,1,1,58,30,63,30,1,1,0,1
5910,187,2,0.0106951871657754,0,0,0,0,2,0.0106951871657754,2,0.0106951871657754,2,0.0106951871657754,66,1,34,1,63,1,24,1,1,66,34,63,24,0,0,0,0
531,181,18,0.0994475138121547,6,0.0331491712707182,0,0,6,0.0331491712707182,24,0.132596685082873,6,0.0331491712707182,68,1,27,1,54,1,32,1,1,68,27,54,32,0,0,0,0
758,190,7,0.0368421052631579,0,0,0,0,0,0,7,0.0368421052631579,0,0,78,0.962962962962963,24,0.75,36,0.692307692307692,22,0.88,1,81,32,52,25,0,0,0,0
187,173,8,0.046242774566474,5,0.0289017341040462,2,0.0115606936416185,10,0.0578034682080925,13,0.0751445086705202,12,0.069364161849711,54,1,26,1,67,1,26,1,1,54,26,67,26,0,0,0,0
478,188,11,0.0585106382978723,1,0.00531914893617021,1,0.00531914893617021,0,0,12,0.0638297872340425,1,0.00531914893617021,65,1,27,1,70,1,26,1,1,65,27,70,26,0,0,0,0
2039,190,2,0.0105263157894737,0,0,0,0,0,0,2,0.0105263157894737,0,0,69,1,28,0.933333333333333,41,0.719298245614035,28,0.823529411764706,1,69,30,57,34,0,0,0,0
