parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
b1,Inverse temperature,155,0.8389996076484738,0.772628797131335,0.8854560620252787,2.7970993463822972e-42
b3,Go bias (gain),155,0.6638399212402023,0.5530165825110276,0.7558838173794374,4.77690377319001e-21
b4,Go bias (loss),155,0.5689964374277938,0.4310413711641359,0.6853150666522021,1.1245296664934176e-14
a1,Learning rate,155,0.8790026699247817,0.8197536406663329,0.9175862561003237,4.486084878527156e-51
