parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
b1,Reward sens.,153,0.8195502451833655,0.7474618404880413,0.8713748165464997,2.393131069662955e-38
b2,Punish. sens.,153,0.7225026072318135,0.6152012353414478,0.8019399434939509,5.577636890993992e-26
b3,Approach bias,153,0.680778419237999,0.5732293860272537,0.7679094423246613,3.634997600305654e-22
b4,Avoid. bias,153,0.5778249098682535,0.4398938387481244,0.6906650012630553,5.279298496289202e-15
a1,LR positive,153,0.9306677902471261,0.8904192429541745,0.9560888134102062,8.017077672392255e-68
a2,LR negative,153,0.9049585150006735,0.8552641517461068,0.9381749247016308,6.580867212477257e-58
