parameter,label,icc,icc_ci_lo,icc_ci_hi
b1,Inverse temperature,0.8589142995432207,0.811093214527979,0.8953292875931205
b3,Go bias (gain),0.7603944407042222,0.6848414679931892,0.8197725690394759
b4,Go bias (loss),0.6969915869464233,0.6059217239136908,0.7700293834419201
a1,Learning rate,0.8967764721125259,0.8608279904927122,0.9238195128771565
