parameter,label,icc,icc_ci_lo,icc_ci_hi
b1,Reward sens.,0.8890288598242453,0.7307469385455355,0.9815761670513657
b2,Punish. sens.,0.8496782620640477,0.6532651866455672,0.9642338474109298
b3,Approach bias,0.8460188084148463,0.7613763976654858,0.9049684467096373
b4,Avoid. bias,0.8324709862951339,0.7450664865665779,0.8938207051970563
a1,LR positive,0.9446540805047285,0.7376554439906969,0.9994438713812536
a2,LR negative,0.9257083065480773,0.8029553340319983,0.9847516214323823
