	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a1[2,42]	0.1534	0.0003453	0.07302	0.07151	0.04842	0.1414	0.3224	35560.0	25050.0	0.2783	1.0
a1[2,43]	0.1189	0.0002079	0.04447	0.04083	0.05429	0.1117	0.226	42660.0	31920.0	0.334	1.0
a1[2,44]	0.04841	0.0005227	0.06603	0.02506	0.001961	0.02413	0.2402	11730.0	24490.0	0.09181	1.0
a1[2,45]	0.1159	0.000746	0.06993	0.06693	0.02601	0.1009	0.2827	6999.0	14670.0	0.05479	1.0
a1[2,46]	0.113	0.0005114	0.09512	0.06636	0.01392	0.08328	0.3743	32350.0	31050.0	0.2533	1.0
a1[2,47]	0.3013	0.000302	0.07117	0.07075	0.1675	0.2997	0.4466	54520.0	30420.0	0.4268	1.0
a1[2,48]	0.2223	0.0002417	0.05652	0.05611	0.1215	0.2193	0.3424	53080.0	31860.0	0.4155	1.0
a1[2,49]	0.06246	0.00047	0.06799	0.03344	0.006712	0.03899	0.2525	17510.0	28000.0	0.1371	1.0
a1[2,50]	0.05242	0.0004207	0.05835	0.03025	0.003908	0.03243	0.2157	16670.0	24280.0	0.1305	1.0
a1[2,51]	0.1253	0.0007536	0.1159	0.0912	0.006515	0.0886	0.425	16930.0	21910.0	0.1325	1.0
a1[2,52]	0.08387	0.0006131	0.09062	0.05321	0.004273	0.05225	0.3387	16240.0	21080.0	0.1271	1.0
a1[2,53]	0.2591	0.0004006	0.09148	0.09197	0.1017	0.2521	0.4571	47820.0	23640.0	0.3744	1.0
a1[2,54]	0.2269	0.0003802	0.05962	0.05819	0.1261	0.2216	0.358	24150.0	29410.0	0.189	1.0
a1[2,55]	0.1587	0.001295	0.1625	0.08565	0.01814	0.09033	0.6092	12740.0	28210.0	0.09977	1.0
a1[2,56]	0.04783	0.0005445	0.06401	0.02614	0.001782	0.02463	0.2339	10360.0	24110.0	0.08114	1.0
a1[2,57]	0.1413	0.0003335	0.06669	0.06428	0.04501	0.1306	0.2983	33990.0	25920.0	0.2661	1.0
a1[2,58]	0.1604	0.0003787	0.06642	0.06434	0.06016	0.1511	0.3147	30660.0	25630.0	0.24	1.0
a1[2,59]	0.4406	0.0008829	0.1423	0.1438	0.1443	0.4469	0.7044	27130.0	10020.0	0.2124	1.0
a1[2,60]	0.3511	0.0004659	0.09521	0.0964	0.1706	0.3497	0.5414	40610.0	24360.0	0.3179	1.0
a1[2,61]	0.1729	0.001591	0.1098	0.1188	0.01633	0.1632	0.4137	3898.0	7722.0	0.03051	1.001
