	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_d_pr[2,120]	1.2	0.001851	0.4286	0.426	0.3643	1.197	2.048	53740.0	29370.0	0.456	1.0
theta_d_pr[2,121]	-0.7953	0.001456	0.2994	0.2996	-1.393	-0.7918	-0.2222	42670.0	28130.0	0.3621	1.0
theta_d_pr[2,122]	1.222	0.001855	0.4311	0.4294	0.38	1.216	2.08	54190.0	29110.0	0.4597	1.0
theta_d_pr[2,123]	-0.5616	0.001528	0.35	0.3499	-1.26	-0.5575	0.115	52710.0	29680.0	0.4472	1.0
theta_d_pr[2,124]	0.7839	0.00204	0.5026	0.5023	-0.1875	0.779	1.784	60880.0	29670.0	0.5165	1.0
theta_d_pr[2,125]	0.6581	0.001542	0.3293	0.3265	0.0189	0.6534	1.322	46140.0	27360.0	0.3915	1.0
theta_d_pr[2,126]	0.3177	0.001634	0.3838	0.3811	-0.4334	0.3199	1.077	55270.0	28270.0	0.4689	1.0
theta_d_pr[2,127]	-0.5105	0.001725	0.4169	0.4142	-1.331	-0.5092	0.3018	58560.0	27340.0	0.4968	1.0
theta_d_pr[2,128]	-0.165	0.001794	0.4167	0.4116	-0.9855	-0.1639	0.6522	54160.0	28710.0	0.4595	1.0
theta_d_pr[2,129]	-0.03843	0.001922	0.4399	0.4438	-0.8986	-0.04075	0.8322	52530.0	31260.0	0.4457	1.0
theta_d_pr[2,130]	0.3339	0.001698	0.3658	0.3638	-0.3745	0.3292	1.064	46840.0	29550.0	0.3974	1.0
theta_d_pr[2,131]	-1.112	0.001563	0.31	0.3074	-1.74	-1.107	-0.5181	39710.0	29240.0	0.3369	1.0
theta_d_pr[2,132]	0.05551	0.00149	0.336	0.3325	-0.5985	0.05568	0.7189	51120.0	28100.0	0.4338	1.0
theta_d_pr[2,133]	1.616	0.001941	0.4278	0.4294	0.8024	1.608	2.472	49370.0	29380.0	0.4189	1.0
theta_d_pr[2,134]	0.7013	0.001374	0.2716	0.2696	0.1722	0.6985	1.243	39230.0	28320.0	0.3329	1.0
theta_d_pr[2,135]	-0.01535	0.002205	0.5108	0.5076	-1.014	-0.01651	0.9975	53940.0	30350.0	0.4577	1.0
theta_d_pr[2,136]	0.3225	0.001514	0.3658	0.3628	-0.3931	0.3218	1.043	58560.0	27730.0	0.4968	1.0
theta_d_pr[2,137]	1.166	0.002511	0.5916	0.5899	0.0305	1.161	2.342	55850.0	31560.0	0.4739	1.0
theta_d_pr[2,138]	0.1617	0.001599	0.3605	0.3582	-0.5459	0.1612	0.8736	50990.0	28460.0	0.4326	1.0
theta_d_pr[2,139]	0.0797	0.001489	0.33	0.329	-0.5683	0.07804	0.7252	49260.0	29570.0	0.4179	1.0
theta_d_pr[2,140]	-0.7237	0.001673	0.3814	0.3813	-1.482	-0.7196	0.01193	52230.0	28690.0	0.4431	1.0
theta_d_pr[2,141]	-0.2452	0.001867	0.438	0.4334	-1.102	-0.2451	0.6287	55250.0	27730.0	0.4688	1.0
theta_d_pr[2,142]	0.566	0.001648	0.379	0.3776	-0.1701	0.5625	1.319	53180.0	30450.0	0.4512	1.0
theta_d_pr[2,143]	0.4167	0.001622	0.3764	0.3733	-0.325	0.4149	1.154	53970.0	27660.0	0.4579	1.0
theta_d_pr[2,144]	-2.655	0.002561	0.5152	0.516	-3.72	-2.636	-1.71	41390.0	29530.0	0.3511	1.0
theta_d_pr[2,145]	-0.5577	0.001657	0.3592	0.3566	-1.266	-0.5558	0.1394	47220.0	28400.0	0.4007	1.0
theta_d_pr[2,146]	-0.08898	0.001586	0.3606	0.3548	-0.8045	-0.09073	0.6254	51940.0	27950.0	0.4406	1.0
theta_d_pr[2,147]	0.9163	0.002986	0.7233	0.7177	-0.5244	0.9175	2.321	58790.0	30380.0	0.4988	1.0
theta_d_pr[2,148]	-0.2808	0.001937	0.457	0.4529	-1.176	-0.2844	0.6213	55870.0	27020.0	0.474	1.0
theta_d_pr[2,149]	0.2217	0.001498	0.3537	0.3493	-0.4693	0.2206	0.9144	55910.0	28130.0	0.4743	1.0
theta_d_pr[2,150]	0.1676	0.006101	0.5612	0.5547	-0.9084	0.1554	1.305	8601.0	15330.0	0.07298	1.0
theta_d_pr[2,151]	0.2484	0.001584	0.3679	0.3659	-0.4704	0.248	0.9706	54050.0	28260.0	0.4586	1.0
theta_d_pr[2,152]	0.1689	0.001743	0.4468	0.4431	-0.7149	0.1695	1.036	65900.0	27190.0	0.5592	1.0
