parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
beta1m,Model-based beta,141,0.9732596855427715,0.954511761899523,0.9820303765186558,1.1082271143287407e-90
beta1t,Model-free beta,141,0.7405326726552817,0.6441870521944053,0.8126838429865227,9.199493175641466e-26
alpha1,Learning rate,141,0.8775406455125594,0.8162210596748075,0.9175721967219096,3.2762022940963117e-46
forget,Forgetting rate,141,0.6571527952441543,0.5307303993967872,0.7590641607810906,8.774291979577772e-19
betac,Stickiness,141,0.7289381444958182,0.6332045995544349,0.8020585689198808,1.2252121324618026e-24
beta2,Stage-2 temperature,141,0.8271930904211384,0.7457349554376902,0.8859501710596774,1.3036174242099332e-36
