parameter,label,icc,icc_ci_lo,icc_ci_hi
alpha1,Learning rate,0.9094032718841099,0.6158261910494801,0.9998208428816645
beta1m,Model-based β,0.9583968314121599,0.6709277973200358,0.9999615532401761
beta1t,Model-free β,0.8740538962452503,0.4347892163536119,0.9997674629150896
beta2,Stage-2 temp.,0.8096336916740118,0.34180004745781994,0.9994762554127699
betac,Stickiness,0.8278016607250152,0.365445574490243,0.9996686412754061
