	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta1m_divergent[42]	-0.2757	0.001946	0.3865	0.3461	-1.103	-0.2554	0.4586	40030.0	30370.0	0.1212	1.0
beta1m_divergent[43]	-0.1237	0.001817	0.382	0.3406	-0.8864	-0.1257	0.6592	44980.0	28810.0	0.1362	1.0
beta1m_divergent[44]	-0.1267	0.001923	0.3856	0.3421	-0.9055	-0.1276	0.6655	39920.0	29740.0	0.1209	1.0
beta1m_divergent[45]	-0.1656	0.001791	0.3859	0.3387	-0.9643	-0.16	0.6048	47060.0	29330.0	0.1425	1.0
beta1m_divergent[46]	-0.1746	0.00193	0.4006	0.3535	-0.9983	-0.1686	0.6311	43180.0	28750.0	0.1307	1.0
beta1m_divergent[47]	-0.1825	0.001875	0.3886	0.3422	-0.9856	-0.1766	0.5999	43530.0	26930.0	0.1318	1.0
beta1m_divergent[48]	-0.01174	0.002276	0.3406	0.3182	-0.6436	-0.03301	0.716	23170.0	24210.0	0.07017	1.0
beta1m_divergent[49]	-0.2866	0.001982	0.3905	0.3503	-1.131	-0.2599	0.44	39880.0	28100.0	0.1208	1.0
beta1m_divergent[50]	-0.1521	0.001731	0.3885	0.3437	-0.9512	-0.1529	0.6364	50540.0	30030.0	0.153	1.0
beta1m_divergent[51]	-0.1964	0.001786	0.3635	0.3271	-0.9463	-0.1895	0.5291	41370.0	27760.0	0.1253	1.0
beta1m_divergent[52]	-0.1786	0.00191	0.3742	0.3321	-0.9629	-0.1719	0.5569	39560.0	28230.0	0.1198	1.0
beta1m_divergent[53]	-0.196	0.002006	0.3786	0.3345	-0.9971	-0.1869	0.5494	37200.0	27000.0	0.1126	1.0
beta1m_divergent[54]	-0.08947	0.001731	0.3612	0.3276	-0.7963	-0.09754	0.6653	43890.0	28590.0	0.1329	1.0
beta1m_divergent[55]	-0.1472	0.001595	0.3567	0.3174	-0.8745	-0.148	0.5728	50420.0	29520.0	0.1526	1.0
beta1m_divergent[56]	-0.1127	0.001791	0.3764	0.3352	-0.8626	-0.1178	0.6628	44450.0	29760.0	0.1346	1.0
beta1m_divergent[57]	-0.3359	0.00232	0.386	0.3533	-1.176	-0.3062	0.3699	28570.0	28260.0	0.0865	1.0
beta1m_divergent[58]	-0.1817	0.001773	0.388	0.3464	-0.9825	-0.178	0.5948	48200.0	30960.0	0.1459	1.0
beta1m_divergent[59]	-0.02434	0.00174	0.3484	0.3232	-0.689	-0.03871	0.71	40770.0	29950.0	0.1235	1.0
beta1m_divergent[60]	-0.3094	0.001922	0.3663	0.3382	-1.1	-0.2869	0.3666	36960.0	29110.0	0.1119	1.0
beta1m_divergent[61]	-0.09907	0.001975	0.3768	0.3372	-0.8399	-0.1065	0.6847	36890.0	26820.0	0.1117	1.0
beta1m_divergent[62]	-0.09506	0.001783	0.3843	0.3419	-0.8504	-0.1027	0.7186	47190.0	29600.0	0.1429	1.0
beta1m_divergent[63]	-0.127	0.001718	0.3132	0.2906	-0.7434	-0.1329	0.5144	33750.0	27730.0	0.1022	1.0
beta1m_divergent[64]	-0.1039	0.001838	0.3892	0.3423	-0.8807	-0.1091	0.6983	45230.0	27420.0	0.1369	1.0
beta1m_divergent[65]	-0.1342	0.001773	0.3859	0.3427	-0.9075	-0.137	0.6556	47890.0	30230.0	0.145	1.0
beta1m_divergent[66]	-0.1093	0.001712	0.3817	0.3396	-0.8662	-0.1157	0.6841	49840.0	29020.0	0.1509	1.0
beta1m_divergent[67]	-0.2297	0.001836	0.3904	0.3454	-1.062	-0.2139	0.5354	45250.0	28740.0	0.137	1.0
beta1m_divergent[68]	-0.1494	0.001734	0.3868	0.3431	-0.9377	-0.148	0.6394	50050.0	28700.0	0.1515	1.0
beta1m_divergent[69]	-0.1578	0.001781	0.3861	0.3442	-0.953	-0.1524	0.6162	47500.0	28490.0	0.1438	1.0
