parameter,label,icc,icc_ci_lo,icc_ci_hi
beta1m,Model-based beta,0.9519727433559925,0.933580668374803,0.9653631283235692
beta1t,Model-free beta,0.6624154805712831,0.5582328020976711,0.7460330343036292
alpha1,Learning rate,0.8962667623514162,0.8580929080136668,0.9245883942795361
forget,Forgetting rate,0.751189527970282,0.6689478297460504,0.8152618425044291
betac,Stickiness,0.7495133283362732,0.6668229920976938,0.813971434992443
beta2,Stage-2 temperature,0.8792762811412531,0.8353926805143317,0.912021496781573
