parameter,label,age_group,spearman_rho,spearman_p,spearman_ci_lo,spearman_ci_hi,n_x,icc,icc_ci_lo,icc_ci_hi,n_y
alpha1,Learning rate,10-15 years old,0.8284162895927601,6.28156464097717e-14,0.676939305978613,0.9105095714633904,51,0.7720163775179404,0.6457481663910293,0.8690216435961652,51
alpha1,Learning rate,15-20 years old,0.7907563025210085,1.5851083742190386e-08,0.5675301881493964,0.9079074423353615,35,0.707600356452262,0.5612018147717099,0.82351639198349,35
alpha1,Learning rate,20-25 years old,0.7837914023960536,3.1483883339919314e-10,0.5688231612605567,0.9053264456208868,44,0.7538010796884579,0.6087315809792353,0.8716880891176928,44
beta1m,Model-based β,10-15 years old,0.9821036677551532,3.4235067586312737e-37,0.9517812337686925,0.9915760859058975,51,0.8896473271168006,0.8468486629871821,0.958191699082967,51
beta1m,Model-based β,15-20 years old,0.9882352941176472,1.7121526370936498e-28,0.9622180221139561,0.9949431099873578,35,0.950681874712813,0.9279675326208839,0.9717180959044571,35
beta1m,Model-based β,20-25 years old,0.9726568005637773,2.9452900120451356e-28,0.9328879459624577,0.9848923935952237,44,0.9021006191344757,0.8164292935154854,0.9705459012927548,44
beta1t,Model-free β,10-15 years old,0.885339366515837,6.425287182724998e-18,0.7771681838656421,0.9397686675208644,51,0.7312878616911817,0.6472070445908613,0.8283452467032093,51
beta1t,Model-free β,15-20 years old,0.8381539344036124,3.337664218841294e-10,0.6763031302578986,0.9162347805317141,35,0.7291316803611831,0.603127258107231,0.8436158866343834,35
beta1t,Model-free β,20-25 years old,0.8125726774839296,2.1213808169211392e-11,0.6576936848998982,0.8922556065089486,44,0.660511519506524,0.5335663735529276,0.7898916773387905,44
beta2,Stage-2 temp.,10-15 years old,0.6704072398190045,7.379013755105884e-08,0.4318251164254887,0.8348845439571017,51,0.5428601639645614,0.35615381600218793,0.6880803021825234,51
beta2,Stage-2 temp.,15-20 years old,0.6202115009256677,7.065816897273253e-05,0.3499244121272459,0.8042637474450172,35,0.45154025053261665,0.3061727656377593,0.657478791182997,35
beta2,Stage-2 temp.,20-25 years old,0.6424242424242423,2.5866073355959452e-06,0.4141055141167609,0.796432501048918,44,0.5165277322396249,0.34441538887259837,0.7156359156895783,44
betac,Stickiness,10-15 years old,0.8133031674208144,4.1256854674299926e-13,0.656205844917275,0.8985218198045947,51,0.3021885579678443,0.2576664810824253,0.38777685185471095,51
betac,Stickiness,15-20 years old,0.6854341736694678,5.537838819090091e-06,0.4205095060258487,0.8300409204649818,35,0.3558905028622674,0.26304593027105333,0.5695399749664858,35
betac,Stickiness,20-25 years old,0.7217758985200845,3.224505045476039e-08,0.5210597943131958,0.8503380715399879,44,0.31023009689267017,0.25634066052404453,0.6319177556270689,44
