parameter,label,n,spearman_rho,spearman_ci_lo,spearman_ci_hi,spearman_p
alpha1,Learning rate,130,0.839877644102746,0.7647622153367001,0.8923280184526245,8.980590753943493e-36
beta1m,Model-based β,130,0.9813092407767311,0.9692177913115038,0.9864172359161176,1.7563938040529655e-93
beta1t,Model-free β,130,0.8620336015805123,0.801416229473023,0.9020819619951665,1.3661834239078758e-39
beta2,Stage-2 temp.,130,0.6568308413760804,0.5308118370997011,0.7571063644877172,2.148157329392459e-17
betac,Stickiness,130,0.764921403772975,0.6726518430072675,0.8319486624064093,3.232908534594396e-26
