	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta1t_common[103]	1.212	0.005267	0.3419	0.3268	0.6451	1.174	1.982	4403.0	12270.0	0.02179	1.001
beta1t_common[104]	1.861	0.002313	0.3987	0.3932	1.116	1.846	2.686	29320.0	27840.0	0.1451	1.0
beta1t_common[105]	1.463	0.003552	0.3028	0.2954	0.9217	1.446	2.113	7435.0	17010.0	0.0368	1.0
beta1t_common[106]	1.272	0.001961	0.3381	0.3374	0.6666	1.256	1.989	30670.0	28430.0	0.1518	1.0
beta1t_common[107]	1.272	0.002163	0.3567	0.3585	0.6434	1.25	2.03	26540.0	27770.0	0.1313	1.0
beta1t_common[108]	1.796	0.005097	0.4464	0.4439	0.9993	1.767	2.743	7749.0	23160.0	0.03836	1.0
beta1t_common[109]	1.769	0.004059	0.4814	0.4776	0.9295	1.738	2.803	14040.0	26120.0	0.06948	1.0
beta1t_common[110]	2.004	0.004648	0.4986	0.4934	1.111	1.975	3.059	11780.0	25890.0	0.05831	1.0
beta1t_common[111]	1.973	0.004277	0.6901	0.6527	0.8757	1.893	3.565	21120.0	22950.0	0.1045	1.0
beta1t_common[112]	1.581	0.001995	0.4243	0.4225	0.827	1.556	2.484	43920.0	28730.0	0.2174	1.0
beta1t_common[113]	1.149	0.003214	0.2932	0.2913	0.6323	1.13	1.775	8526.0	19850.0	0.0422	1.0
beta1t_common[114]	2.286	0.003545	0.5302	0.5315	1.301	2.269	3.373	22020.0	25620.0	0.109	1.0
beta1t_common[115]	1.698	0.002577	0.4625	0.4511	0.8945	1.661	2.697	32020.0	29700.0	0.1585	1.0
beta1t_common[116]	3.411	0.01786	0.7913	0.8276	2.039	3.369	5.061	1952.0	8819.0	0.009662	1.001
beta1t_common[117]	1.856	0.003686	0.4832	0.4862	0.9936	1.827	2.876	17200.0	25310.0	0.08514	1.0
beta1t_common[118]	2.757	0.003925	0.5811	0.5728	1.725	2.719	3.997	22120.0	26470.0	0.1095	1.0
beta1t_common[119]	2.162	0.003831	0.4073	0.406	1.424	2.141	3.017	11310.0	23280.0	0.05599	1.0
beta1t_common[120]	2.793	0.004028	0.653	0.6286	1.658	2.737	4.214	26680.0	28390.0	0.1321	1.0
beta1t_common[121]	1.489	0.002875	0.4341	0.4293	0.7351	1.455	2.434	21600.0	25630.0	0.1069	1.0
beta1t_common[122]	2.159	0.009368	0.6296	0.6222	1.1	2.103	3.548	4633.0	14060.0	0.02293	1.0
beta1t_common[123]	1.322	0.002275	0.4108	0.4113	0.6188	1.289	2.212	31110.0	26780.0	0.154	1.0
beta1t_common[124]	1.041	0.00158	0.2819	0.281	0.542	1.024	1.637	31180.0	27170.0	0.1543	1.0
beta1t_common[125]	1.983	0.002376	0.4411	0.44	1.168	1.971	2.889	33630.0	25460.0	0.1665	1.0
beta1t_common[126]	2.048	0.002635	0.4715	0.4559	1.209	2.019	3.06	32110.0	28410.0	0.1589	1.0
beta1t_common[127]	2.012	0.002964	0.3883	0.377	1.296	1.993	2.829	17730.0	24110.0	0.08774	1.0
beta1t_common[128]	1.219	0.002271	0.2725	0.2693	0.7263	1.205	1.795	14800.0	23090.0	0.07324	1.0
beta1t_common[129]	1.182	0.002157	0.3101	0.3061	0.6365	1.161	1.846	21060.0	27410.0	0.1043	1.0
beta1t_common[130]	0.8571	0.002575	0.24	0.2318	0.4436	0.838	1.386	9422.0	12950.0	0.04664	1.0
beta1t_common[131]	0.6177	0.001333	0.2012	0.1951	0.2917	0.5957	1.069	23280.0	26190.0	0.1153	1.0
beta1t_common[132]	0.9941	0.002465	0.2733	0.2682	0.5233	0.973	1.59	12910.0	22780.0	0.06389	1.0
beta1t_common[133]	1.321	0.003556	0.6107	0.5193	0.4807	1.204	2.832	29460.0	30040.0	0.1458	1.0
beta1t_common[134]	2.203	0.002335	0.4686	0.461	1.346	2.185	3.188	39230.0	28690.0	0.1942	1.0
beta1t_common[135]	1.493	0.004741	0.4388	0.437	0.7375	1.458	2.446	8789.0	21620.0	0.0435	1.0
beta1t_common[136]	2.856	0.007556	0.6341	0.6302	1.694	2.83	4.184	6914.0	18230.0	0.03422	1.0
beta1t_common[137]	1.982	0.011	0.5572	0.5654	1.03	1.937	3.171	2549.0	12090.0	0.01262	1.001
beta1t_common[138]	2.511	0.003659	0.6167	0.6115	1.4	2.472	3.822	28510.0	29100.0	0.1411	1.0
beta1t_common[139]	1.587	0.008622	0.5221	0.4862	0.764	1.516	2.812	3840.0	10930.0	0.01901	1.0
beta1t_common[140]	3.392	0.004181	0.5929	0.5865	2.308	3.364	4.635	20440.0	28800.0	0.1012	1.0
beta1t_common[141]	1.419	0.001969	0.3733	0.3727	0.7561	1.397	2.212	34600.0	27720.0	0.1712	1.0
beta2_common[1]	5.799	0.003652	0.7449	0.7213	4.463	5.753	7.397	41930.0	31400.0	0.2075	1.0
beta2_common[2]	7.826	0.01402	1.843	1.661	4.699	7.653	12.04	13760.0	12300.0	0.06813	1.0
beta2_common[3]	6.893	0.01131	1.213	1.121	4.952	6.743	9.697	12140.0	21810.0	0.06011	1.0
beta2_common[4]	4.979	0.009257	1.168	1.029	3.167	4.827	7.731	11570.0	13720.0	0.05727	1.0
beta2_common[5]	3.924	0.003744	0.6195	0.5968	2.863	3.876	5.281	30040.0	23360.0	0.1487	1.0
beta2_common[6]	4.831	0.003206	0.6374	0.6262	3.699	4.791	6.195	39570.0	30610.0	0.1959	1.0
beta2_common[7]	17.55	0.03471	3.733	3.454	11.29	17.17	25.95	9970.0	13410.0	0.04935	1.0
beta2_common[8]	4.823	0.01874	0.8775	0.8737	3.334	4.752	6.739	2182.0	10510.0	0.0108	1.002
beta2_common[9]	6.341	0.009915	0.9394	0.8996	4.715	6.269	8.392	8969.0	19360.0	0.0444	1.0
beta2_common[10]	4.783	0.008067	0.8797	0.7787	3.398	4.675	6.827	11280.0	22480.0	0.05585	1.001
beta2_common[11]	3.915	0.003093	0.5978	0.5751	2.904	3.864	5.252	38900.0	30230.0	0.1926	1.0
beta2_common[12]	7.028	0.0145	2.498	2.154	3.537	6.572	13.19	28180.0	28250.0	0.1395	1.0
beta2_common[13]	9.281	0.03836	2.651	2.537	4.74	9.07	15.11	4294.0	8986.0	0.02125	1.001
beta2_common[14]	5.727	0.01005	0.777	0.7561	4.375	5.661	7.417	5999.0	15050.0	0.02969	1.001
beta2_common[15]	5.655	0.00824	0.8648	0.8196	4.195	5.576	7.588	10580.0	18650.0	0.05235	1.0
beta2_common[16]	6.819	0.008277	0.913	0.8888	5.227	6.755	8.796	12320.0	23950.0	0.06099	1.0
beta2_common[17]	2.916	0.004227	0.5883	0.528	1.982	2.847	4.267	22490.0	25150.0	0.1113	1.0
beta2_common[18]	7.386	0.01916	1.24	1.205	5.245	7.286	10.12	4057.0	12150.0	0.02008	1.001
beta2_common[19]	4.87	0.003085	0.6499	0.6327	3.738	4.82	6.27	45230.0	32580.0	0.2239	1.0
beta2_common[20]	6.337	0.005947	0.8453	0.8046	4.885	6.27	8.197	21860.0	21500.0	0.1082	1.0
beta2_common[21]	6.181	0.006535	0.9063	0.875	4.627	6.103	8.176	19240.0	26910.0	0.09524	1.0
beta2_common[22]	3.64	0.004911	0.7915	0.7224	2.355	3.552	5.457	27670.0	24210.0	0.137	1.0
beta2_common[23]	4.309	0.01417	0.7631	0.7426	3.007	4.245	5.981	2860.0	12420.0	0.01415	1.002
beta2_common[24]	4.42	0.006519	1.079	0.9474	2.794	4.257	6.982	29370.0	26770.0	0.1454	1.0
beta2_common[25]	3.917	0.009802	1.686	1.411	1.675	3.579	8.081	29260.0	30350.0	0.1448	1.0
beta2_common[26]	7.148	0.02245	1.334	1.235	5.006	6.987	10.25	3414.0	11350.0	0.0169	1.002
beta2_common[27]	4.197	0.003525	0.7363	0.7111	2.951	4.133	5.815	44680.0	32620.0	0.2211	1.0
beta2_common[28]	4.54	0.01103	0.7519	0.7136	3.32	4.453	6.251	4620.0	17420.0	0.02287	1.001
beta2_common[29]	4.569	0.01711	0.8536	0.8245	3.176	4.473	6.485	2457.0	9603.0	0.01216	1.002
beta2_common[30]	5.569	0.004331	0.7613	0.7386	4.247	5.511	7.216	33420.0	28780.0	0.1654	1.0
beta2_common[31]	4.192	0.005139	0.742	0.6819	2.979	4.113	5.883	26160.0	16760.0	0.1295	1.0
beta2_common[32]	5.406	0.003076	0.6415	0.6376	4.25	5.37	6.763	43650.0	29780.0	0.2161	1.0
beta2_common[33]	3.499	0.01372	1.36	1.015	1.872	3.176	7.042	7126.0	16390.0	0.03527	1.001
beta2_common[34]	5.022	0.004117	0.6034	0.5878	3.938	4.985	6.304	21900.0	26500.0	0.1084	1.0
beta2_common[35]	3.914	0.008265	1.35	1.168	2.013	3.672	7.211	26800.0	29700.0	0.1327	1.0
beta2_common[36]	4.672	0.008304	0.775	0.7072	3.435	4.574	6.458	9229.0	16390.0	0.04568	1.001
beta2_common[37]	5.775	0.02898	1.259	1.241	3.757	5.629	8.597	1836.0	8947.0	0.009086	1.003
beta2_common[38]	4.749	0.003713	0.6234	0.6057	3.643	4.709	6.101	29750.0	26450.0	0.1472	1.0
beta2_common[39]	5.648	0.01131	1.947	1.672	2.896	5.299	10.38	30650.0	27910.0	0.1517	1.0
beta2_common[40]	3.533	0.01283	0.643	0.6158	2.48	3.46	5.002	2495.0	10030.0	0.01235	1.002
beta2_common[41]	4.31	0.01009	0.8713	0.8403	2.853	4.225	6.245	7153.0	17430.0	0.03541	1.001
beta2_common[42]	6.106	0.00901	0.9146	0.8609	4.568	6.02	8.147	10460.0	18370.0	0.05176	1.0
beta2_common[43]	11.91	0.01652	2.535	2.333	7.92	11.57	17.83	25170.0	27160.0	0.1246	1.0
beta2_common[44]	5.545	0.01296	2.344	1.974	2.372	5.092	11.26	33240.0	29540.0	0.1645	1.0
beta2_common[45]	6.501	0.01194	1.817	1.623	3.864	6.205	10.86	23410.0	28290.0	0.1159	1.0
beta2_common[46]	16.27	0.03997	4.029	3.641	10.25	15.65	25.9	8775.0	14700.0	0.04343	1.001
beta2_common[47]	15.53	0.03512	3.378	3.093	10.3	15.06	23.47	8580.0	18620.0	0.04247	1.0
beta2_common[48]	7.779	0.006524	1.16	1.098	5.811	7.675	10.38	31820.0	30460.0	0.1575	1.0
beta2_common[49]	5.335	0.02235	0.9889	0.993	3.662	5.25	7.478	1926.0	8657.0	0.009536	1.003
beta2_common[50]	4.928	0.01016	2.151	1.839	1.985	4.525	10.2	50790.0	29830.0	0.2514	1.0
beta2_common[51]	5.762	0.01116	1.944	1.747	2.904	5.438	10.36	30210.0	30900.0	0.1495	1.0
beta2_common[52]	2.915	0.006054	0.435	0.4177	2.158	2.88	3.88	5296.0	12140.0	0.02622	1.001
beta2_common[53]	4.313	0.005048	0.8297	0.7744	2.95	4.224	6.184	30100.0	26050.0	0.149	1.0
beta2_common[54]	4.379	0.003862	0.6184	0.5904	3.284	4.336	5.722	23610.0	24530.0	0.1169	1.0
beta2_common[55]	5.228	0.006326	0.7619	0.7186	3.939	5.151	6.952	14860.0	25450.0	0.07356	1.001
beta2_common[56]	6.298	0.01534	1.094	1.042	4.46	6.191	8.741	4898.0	13570.0	0.02424	1.001
beta2_common[57]	2.338	0.003945	0.3935	0.3804	1.656	2.306	3.195	10560.0	19220.0	0.05227	1.0
beta2_common[58]	5.309	0.01089	2.193	1.883	2.247	4.908	10.73	42620.0	31990.0	0.211	1.0
beta2_common[59]	3.493	0.007593	0.5672	0.5415	2.542	3.437	4.765	5758.0	14540.0	0.0285	1.001
beta2_common[60]	5.581	0.008869	0.8446	0.8127	4.111	5.518	7.417	8857.0	19130.0	0.04384	1.001
beta2_common[61]	5.46	0.005002	0.878	0.8288	4.001	5.372	7.433	33200.0	28310.0	0.1644	1.0
beta2_common[62]	7.904	0.02335	1.952	1.854	4.562	7.743	12.19	6209.0	11320.0	0.03073	1.001
beta2_common[63]	8.286	0.0302	2.051	1.852	5.229	7.969	13.17	4222.0	15140.0	0.0209	1.001
beta2_common[64]	16.99	0.04428	4.212	3.847	10.43	16.39	26.85	8025.0	15240.0	0.03972	1.0
beta2_common[65]	4.721	0.01035	2.002	1.686	1.966	4.347	9.633	40160.0	29950.0	0.1988	1.0
beta2_common[66]	8.799	0.01504	2.518	2.269	4.927	8.442	14.74	23550.0	23460.0	0.1166	1.0
beta2_common[67]	4.684	0.01171	1.868	1.452	2.282	4.26	9.433	27040.0	29630.0	0.1339	1.0
beta2_common[68]	5.562	0.01119	2.079	1.784	2.603	5.178	10.65	36750.0	29700.0	0.1819	1.0
beta2_common[69]	9.941	0.01719	2.436	2.177	6.295	9.559	15.73	18180.0	21830.0	0.09	1.0
beta2_common[70]	5.057	0.007528	1.117	1.024	3.283	4.918	7.652	25720.0	24800.0	0.1273	1.0
beta2_common[71]	5.226	0.01317	1.616	1.431	2.93	4.945	9.114	13040.0	23160.0	0.06455	1.0
beta2_common[72]	5.7	0.01133	1.832	1.624	2.976	5.42	10.1	23860.0	18950.0	0.1181	1.0
beta2_common[73]	6.263	0.01425	1.132	1.096	4.328	6.173	8.76	5687.0	12650.0	0.02815	1.001
beta2_common[74]	5.187	0.008425	1.551	1.404	2.839	4.955	8.872	35370.0	30180.0	0.1751	1.0
beta2_common[75]	10.08	0.02514	2.854	2.621	5.555	9.69	16.75	10320.0	10770.0	0.0511	1.0
beta2_common[76]	7.201	0.01253	1.225	1.161	5.176	7.069	9.976	8864.0	15450.0	0.04388	1.0
beta2_common[77]	3.478	0.007831	0.504	0.4695	2.646	3.425	4.618	4298.0	10660.0	0.02127	1.001
beta2_common[78]	4.318	0.004143	0.5856	0.5672	3.321	4.265	5.597	21720.0	24140.0	0.1075	1.0
beta2_common[79]	5.635	0.01848	1.159	1.051	3.853	5.471	8.385	3836.0	11880.0	0.01899	1.001
beta2_common[80]	3.072	0.002434	0.4498	0.4396	2.277	3.042	4.041	34970.0	30500.0	0.1731	1.0
beta2_common[81]	4.438	0.003342	0.5526	0.5347	3.457	4.406	5.614	25880.0	27350.0	0.1281	1.0
beta2_common[82]	6.249	0.006234	0.9099	0.8443	4.735	6.155	8.327	20920.0	25610.0	0.1035	1.0
beta2_common[83]	2.771	0.006208	0.4048	0.3843	2.075	2.734	3.667	4473.0	9358.0	0.02214	1.001
beta2_common[84]	6.586	0.03429	1.588	1.57	4.035	6.426	10.03	2027.0	8888.0	0.01003	1.003
beta2_common[85]	3.409	0.002323	0.4476	0.4345	2.613	3.379	4.366	38730.0	29660.0	0.1917	1.0
beta2_common[86]	3.963	0.01233	0.6698	0.6291	2.855	3.889	5.494	2940.0	11070.0	0.01455	1.002
beta2_common[87]	4.174	0.01107	1.622	1.319	2.071	3.82	8.248	19880.0	27450.0	0.0984	1.0
beta2_common[88]	4.397	0.009631	1.916	1.648	1.762	4.031	9.138	42890.0	31050.0	0.2123	1.0
beta2_common[89]	4.742	0.003322	0.5815	0.5683	3.693	4.712	5.962	31130.0	30630.0	0.1541	1.0
beta2_common[90]	7.04	0.01474	1.101	1.054	5.172	6.932	9.484	5408.0	18590.0	0.02677	1.001
beta2_common[91]	5.976	0.01493	2.474	2.115	2.564	5.51	12.05	26640.0	25460.0	0.1319	1.0
beta2_common[92]	2.696	0.008899	0.5644	0.5521	1.766	2.637	3.946	3863.0	15450.0	0.01912	1.002
beta2_common[93]	3.51	0.004582	0.5424	0.5275	2.572	3.465	4.684	14750.0	22000.0	0.07299	1.0
beta2_common[94]	2.204	0.009201	0.5337	0.5225	1.349	2.144	3.393	3194.0	13380.0	0.01581	1.002
beta2_common[95]	3.167	0.00377	0.4236	0.4109	2.416	3.139	4.078	12800.0	23210.0	0.06336	1.0
beta2_common[96]	5.815	0.0186	1.025	1.005	4.068	5.727	8.051	2980.0	11860.0	0.01475	1.002
beta2_common[97]	5.266	0.02194	1.02	1.037	3.546	5.184	7.438	2128.0	9823.0	0.01053	1.003
beta2_common[98]	2.886	0.005678	0.5003	0.4889	2.024	2.847	3.978	7684.0	21040.0	0.03803	1.001
beta2_common[99]	4.062	0.004744	0.7469	0.7	2.813	3.984	5.734	25570.0	28740.0	0.1265	1.0
beta2_common[100]	3.855	0.007658	0.5544	0.5369	2.878	3.82	5.039	5281.0	14080.0	0.02614	1.001
beta2_common[101]	4.407	0.003359	0.6417	0.6177	3.269	4.365	5.797	36970.0	28850.0	0.183	1.0
beta2_common[102]	7.26	0.01469	2.058	1.867	4.033	6.997	12.06	16920.0	20240.0	0.08375	1.0
beta2_common[103]	3.578	0.009164	0.5628	0.5205	2.67	3.514	4.876	3894.0	10780.0	0.01928	1.001
beta2_common[104]	5.854	0.006121	0.8013	0.7771	4.466	5.789	7.594	18020.0	28200.0	0.0892	1.0
beta2_common[105]	2.387	0.002046	0.3491	0.3459	1.757	2.368	3.122	29340.0	29730.0	0.1452	1.0
beta2_common[106]	5.008	0.002925	0.6199	0.6094	3.872	4.975	6.314	44830.0	32420.0	0.2219	1.0
