"valence","action","session","z_exposure.trend","SE","df","asymp.LCL","asymp.UCL"
"lose","no-go","session_1",-0.509197149956977,0.0292571065742473,Inf,-0.566540025134351,-0.451854274779602
"win","no-go","session_1",-0.475130454087365,0.0268761658436292,Inf,-0.527806771183404,-0.422454136991326
"lose","go","session_1",0.245146184507456,0.0274398341260725,Inf,0.191365097878601,0.298927271136311
"win","go","session_1",0.352115480383169,0.0372546292465215,Inf,0.279097748802595,0.425133211963744
"lose","no-go","session_2",-0.543060120210237,0.0295251610686737,Inf,-0.600928372542582,-0.485191867877893
"win","no-go","session_2",-0.491502902482789,0.0268342634007278,Inf,-0.544097092299877,-0.438908712665702
"lose","go","session_2",0.205772939888083,0.0274332110475039,Inf,0.152004834254689,0.259541045521477
"win","go","session_2",0.243142857873889,0.0336717700653681,Inf,0.177147401250054,0.309138314497724
