"Estimate","Std. Error","z value","Pr(>|z|)","term"
1.55386316559863,0.0738524536507594,21.0401021061086,2.8177054437216e-98,"(Intercept)"
-0.374691208587492,0.0308862590928298,-12.1313237534317,7.20748293322395e-34,"previous_reward1"
0.0614248287799101,0.0174323600047228,3.52360946901445,0.000425711202042123,"previous_transition1"
-0.00324439191984304,0.0735277536083351,-0.0441247251633056,0.964804984144968,"age_z"
-0.096639256184647,0.0124613267848605,-7.75513377131362,8.8250400640122e-15,"session1"
-0.39065077377924,0.0377809085302206,-10.3398988795297,4.65027962306335e-25,"previous_reward1:previous_transition1"
-0.0835519497447046,0.0304448912123943,-2.74436683520453,0.00606277465300135,"previous_reward1:age_z"
0.0579936556617856,0.0163888347188732,3.53860763480644,0.00040224325519396,"previous_transition1:age_z"
0.0204488791654393,0.0124576883108232,1.64146659117112,0.100700596632899,"previous_reward1:session1"
0.00919252555643223,0.0124638356178928,0.737535846769002,0.46079655223546,"previous_transition1:session1"
0.0494762909671661,0.0126141570968342,3.92228276430641,8.77139662393955e-05,"age_z:session1"
-0.0930907587492346,0.0375239553133419,-2.48083545489501,0.0131074864533277,"previous_reward1:previous_transition1:age_z"
0.0150238054675928,0.0124645510092249,1.2053226350852,0.22807877475851,"previous_reward1:previous_transition1:session1"
-0.0227246697133645,0.0126057106076742,-1.80272817777762,0.0714309146144796,"previous_reward1:age_z:session1"
-0.00710127105581953,0.0126141237194435,-0.562961899991006,0.573460828174481,"previous_transition1:age_z:session1"
-0.0142380764570043,0.0126155666253964,-1.1286117286513,0.259061660802742,"previous_reward1:previous_transition1:age_z:session1"
